14608; 666000; 911351370; 71803; 500000; -71803; -37456;  -337; -4126; 2972; -100; 1573912863; 0; 1; 1; 0; 1001
14609; 666000; 912304798; 25231; 500000; -25231; -37456;  -381; -5074; 2974; -100; 1573912863; 0; 1; 1; 0; 1001
14610; 666000; 913297084; 17517; 500000; -17517; -34963;  -388; -5185; 2976; -100; 1573912863; 0; 1; 1; 0; 1001
14611; 666000; 914313074; 33507; 500000; -33507; -34781;  -434; -6316; 2978; -100; 1573912863; 0; 1; 1; 0; 1001
14612; 666000; 915313111; 33544; 500000; -33544; -34626;  -472; -7346; 2980; -100; 1573912863; 0; 1; 1; 0; 1001
14613; 666000; 916285158; 5591; 500000; -5591; -34626;  -505; -8313; 2982; -100; 1573912863; 0; 1; 1; 0; 1001
14614; 666000; 917279471; 999904; 500000; 96; -34626;  -469; -7261; 2983; -100; 1573912863; 0; 1; 1; 0; 1001
14615; 666000; 918302765; 23198; 500000; -23198; -33197;  -421; -5951; 2984; -100; 1573912863; 0; 1; 1; 0; 1001
14616; 666000; 919353001; 73434; 500000; -73434; -33197;  -378; -4920; 2985; -100; 1573912863; 0; 1; 1; 0; 1001
14617; 666000; 920351622; 72055; 500000; -72055; -33197;  -277; -2935; 2986; -100; 1573912863; 0; 1; 1; 0; 1001
14618; 666000; 921295270; 15703; 500000; -15703; -31010;  -162; -1377; 2987; -100; 1573912863; 0; 1; 1; 0; 1001
14619; 666000; 922347615; 68048; 500000; -68048; -31010;  -61; -701; 2988; -70; 1573912863; 0; 1; 1; 0; 1001
14620; 666000; 923331794; 52227; 500000; -52227; -31010;  -4; -590; 2989; -59; 1573912863; 0; 1; 1; 0; 1001
14621; 666000; 924347952; 68385; 500000; -68385; -35681;  -15; -690; 2990; -69; 1573912863; 0; 1; 1; 0; 1001
14622; 666000; 925307020; 27453; 500000; -27453; -35681;  -26; -704; 2991; -70; 1573912863; 0; 1; 1; 0; 1001
14623; 666000; 926348636; 69069; 500000; -69069; -35681;  -36; -722; 2991; -72; 1573912863; 0; 1; 1; 0; 1001
14624; 666000; 927314253; 34686; 500000; -34686; -35556;  -43; -736; 2991; -73; 1573912863; 0; 1; 1; 0; 1001
14625; 666000; 928316245; 36678; 500000; -36678; -35696;  -69; -826; 2991; -82; 1573912863; 0; 1; 1; 0; 1001
14626; 666000; 929304601; 25034; 500000; -25034; -35696;  -91; -932; 2991; -93; 1573912863; 0; 1; 1; 0; 1001
14627; 666000; 930297792; 18225; 500000; -18225; -35696;  -111; -1053; 2991; -100; 1573912863; 0; 1; 1; 0; 1001
14628; 666000; 931297295; 17728; 500000; -17728; -33450;  -127; -1122; 2991; -100; 1573912863; 0; 1; 1; 0; 1001
14629; 666000; 932315703; 36136; 500000; -36136; -33785;  -146; -1285; 2991; -100; 1573912863; 0; 1; 1; 0; 1001
14630; 666000; 933312560; 32993; 500000; -32993; -33686;  -161; -1421; 2991; -100; 1573912863; 0; 1; 1; 0; 1001
14631; 666000; 934264241; 984674; 500000; 15326; -33686;  -116; -1047; 2991; -100; 1573912863; 0; 1; 1; 0; 1001
14632; 666000; 935286715; 7148; 500000; -7148; -33686;  -77; -821; 2991; -82; 1573912863; 0; 1; 1; 0; 1001
14633; 666000; 936267969; 988402; 500000; 11598; -28025;  28; -507; 2991; -50; 1573912863; 0; 1; 1; 0; 1001
14634; 666000; 937264492; 984925; 500000; 15075; -28025;  118; -112; 2991; -11; 1573912863; 0; 1; 1; 0; 1001
